epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94722,0,47.5653,0,0,0,0,0,0,66.1412,0,0,0,0
2,4.05784,0,47.5171,0,0,0,0,0,0,66.202,0,1.6505e-05,1.6505e-05,1.6505e-05
3,6.20246,0,47.4353,0,0,0,0,0,0,66.2705,0,3.26799e-05,3.26799e-05,3.26799e-05
4,8.22347,0,47.277,0,0,0,0,0,0,66.3448,0,4.85247e-05,4.85247e-05,4.85247e-05
5,10.3508,0,47.0585,0,0,0,0,0,0,66.4099,0,6.40395e-05,6.40395e-05,6.40395e-05
6,12.453,0,46.7783,0,0,0,0,0,0,66.4656,0,7.92242e-05,7.92242e-05,7.92242e-05
7,14.794,0,46.6335,0,0,0,0,0,0,66.4937,0,9.40788e-05,9.40788e-05,9.40788e-05
8,16.9179,0,46.369,0,0,0,0,0,0,66.5012,0,0.000108603,0.000108603,0.000108603
9,22.5775,0,46.0726,0,0,0,0,0,0,66.4841,0,0.000122798,0.000122798,0.000122798
10,32.1066,0,45.7891,0,0,0,0,0,0,66.4604,0,0.000136662,0.000136662,0.000136662
11,39.5918,0,45.6429,0,0,0,0,0,0,66.4187,0,0.000150197,0.000150197,0.000150197
12,41.9846,0,45.1002,0,0,0,0,0,0,66.3861,0,0.000163401,0.000163401,0.000163401
13,44.0431,0,44.6132,0,0,0,0,0,0,66.3616,0,0.000176275,0.000176275,0.000176275
14,46.179,0,43.9518,0,0,0,0,0,0,66.3559,0,0.000188819,0.000188819,0.000188819
15,48.2457,0,43.3459,0,0,0,0,0,0,66.3711,0,0.000201034,0.000201034,0.000201034
16,50.3822,0,42.6049,0,0,0,0,0,0,66.3728,0,0.000212918,0.000212918,0.000212918
17,52.5538,0,42.2082,0,0,0,0,0,0,66.363,0,0.000224472,0.000224472,0.000224472
18,54.6253,0,41.5526,0,0,0,0,0,0,66.363,0,0.000235695,0.000235695,0.000235695
19,56.75,0,41.9927,0,0,0,0,0,0,66.3953,0,0.000246589,0.000246589,0.000246589
20,58.7845,0,40.9023,0,0,0,0,0,0,66.3953,0,0.000257153,0.000257153,0.000257153
21,60.9388,0,40.922,0,0,0,0,0,0,66.4265,0,0.000267387,0.000267387,0.000267387
